Strike,OptionType,Open Int,Volume,Bid,Ask,Last,IV,Delta,Gamma,Vega,Theta,Moneyness,Expiry
20.0,Call,0,0,0,0,0.0,3.0909,0,0,0,0,0,2026-05-22
20.0,Put,0,0,0,0,0.0,3.4021,0,0,0,0,0,2026-05-22
25.0,Call,0,0,0,0,0.0,145.04,0,0,0,0,0,2026-05-22
25.0,Put,0,0,0,0,0.0,196.49,0,0,0,0,0,2026-05-22
27.0,Put,0,0,0,0,0.0,117.38,0,0,0,0,0,2026-05-22
27.0,Call,0,0,0,0,0.0,117.63999999999999,0,0,0,0,0,2026-05-22
28.0,Put,0,0,0,0,0.0,108.18,0,0,0,0,0,2026-05-22
28.0,Call,0,0,0,0,0.0,107.44,0,0,0,0,0,2026-05-22
29.0,Put,0,0,0,0,0.0,98.21,0,0,0,0,0,2026-05-22
29.0,Call,0,0,0,0,0.0,91.92,0,0,0,0,0,2026-05-22
29.0,Put,0,0,0,0,0.0,98.21,0,0,0,0,0,2026-05-22
30.0,Call,3,0,0,0,0.0,99.25,0,0,0,0,0,2026-05-22
30.0,Put,0,0,0,0,0.0,66.43,0,0,0,0,0,2026-05-22
31.0,Put,0,0,0,0,0.0,56.489999999999995,0,0,0,0,0,2026-05-22
31.0,Call,0,0,0,0,0.0,82.28999999999999,0,0,0,0,0,2026-05-22
32.0,Put,2,2,0,0,0.01,46.660000000000004,0,0,0,0,0,2026-05-22
32.0,Call,3,1,0,0,6.82,80.83,0,0,0,0,0,2026-05-22
32.5,Call,0,0,0,0,0.0,76.18,0,0,0,0,0,2026-05-22
32.5,Put,0,0,0,0,0.0,49.27,0,0,0,0,0,2026-05-22
33.0,Call,0,0,0,0,0.0,59.84,0,0,0,0,0,2026-05-22
33.0,Put,7,0,0,0,0.05,455.0,0,0,0,0,0,2026-05-22
33.5,Call,0,0,0,0,0.0,63.57000000000001,0,0,0,0,0,2026-05-22
33.5,Put,202,0,0,0,0.05,43.03,0,0,0,0,0,2026-05-22
34.0,Put,3,0,0,0,0.0,43.08,0,0,0,0,0,2026-05-22
34.0,Call,0,0,0,0,0.0,60.760000000000005,0,0,0,0,0,2026-05-22
34.5,Put,1,12,0,0,0.06,40.48,0,0,0,0,0,2026-05-22
34.5,Call,0,0,0,0,0.0,59.48,0,0,0,0,0,2026-05-22
35.0,Call,0,0,0,0,0.0,5.41,0,0,0,0,0,2026-05-22
35.0,Put,13,0,0,0,0.1,38.14,0,0,0,0,0,2026-05-22
35.5,Call,0,0,0,0,0.0,48.68,0,0,0,0,0,2026-05-22
35.5,Put,104,0,0,0,0.14,34.83,0,0,0,0,0,2026-05-22
36.0,Call,20,0,0,0,3.3,45.87,0,0,0,0,0,2026-05-22
36.0,Put,151,95,0,0,0.12,33.339999999999996,0,0,0,0,0,2026-05-22
36.5,Call,0,0,0,0,0.0,42.22,0,0,0,0,0,2026-05-22
36.5,Put,30,20,0,0,0.18,32.53,0,0,0,0,0,2026-05-22
37.0,Call,15,0,0,0,2.36,40.62,0,0,0,0,0,2026-05-22
37.0,Put,1347,13,0,0,0.27,32.0,0,0,0,0,0,2026-05-22
37.0,Put,1347,13,0,0,0.27,32.0,0,0,0,0,0,2026-05-22
37.5,Call,37,0,0,0,2.6,35.65,0,0,0,0,0,2026-05-22
37.5,Put,261,1128,0,0,0.4,31.78,0,0,0,0,0,2026-05-22
38.0,Call,16,2,0,0,1.21,32.95,0,0,0,0,0,2026-05-22
38.0,Put,507,60,0,0,0.51,29.14,0,0,0,0,0,2026-05-22
38.5,Call,15,13,0,0,0.95,33.589999999999996,0,0,0,0,0,2026-05-22
38.5,Put,2193,126,0,0,0.7,28.04,0,0,0,0,0,2026-05-22
39.0,Call,29,361,0,0,0.65,31.009999999999998,0,0,0,0,0,2026-05-22
39.0,Put,276,28,0,0,0.92,261.0,0,0,0,0,0,2026-05-22
39.5,Call,81,46,0,0,0.46,308.0,0,0,0,0,0,2026-05-22
39.5,Put,44,2,0,0,1.24,25.86,0,0,0,0,0,2026-05-22
40.0,Call,300,51,0,0,0.31,30.43,0,0,0,0,0,2026-05-22
40.0,Put,55,1,0,0,1.62,26.119999999999997,0,0,0,0,0,2026-05-22
40.5,Call,738,53,0,0,0.22,31.180000000000003,0,0,0,0,0,2026-05-22
40.5,Put,32,0,0,0,1.53,15.25,0,0,0,0,0,2026-05-22
41.0,Call,4842,384,0,0,0.14,30.930000000000003,0,0,0,0,0,2026-05-22
41.0,Put,8,0,0,0,1.86,50.71,0,0,0,0,0,2026-05-22
41.5,Call,433,601,0,0,0.08,30.18,0,0,0,0,0,2026-05-22
41.5,Put,143,0,0,0,2.62,50.71,0,0,0,0,0,2026-05-22
42.0,Call,179,5,0,0,0.06,31.69,0,0,0,0,0,2026-05-22
42.0,Put,116,0,0,0,3.04,50.71,0,0,0,0,0,2026-05-22
42.5,Call,25,2,0,0,0.05,33.77,0,0,0,0,0,2026-05-22
42.5,Put,0,0,0,0,0.0,50.71,0,0,0,0,0,2026-05-22
43.0,Call,42,3,0,0,0.03,33.629999999999995,0,0,0,0,0,2026-05-22
43.0,Put,0,0,0,0,0.0,50.71,0,0,0,0,0,2026-05-22
43.5,Call,5,0,0,0,0.05,34.21,0,0,0,0,0,2026-05-22
43.5,Put,1,0,0,0,0.0,50.71,0,0,0,0,0,2026-05-22
44.0,Call,26,0,0,0,0.02,36.919999999999995,0,0,0,0,0,2026-05-22
44.0,Put,0,0,0,0,0.0,50.71,0,0,0,0,0,2026-05-22
44.5,Call,0,0,0,0,0.0,54.61,0,0,0,0,0,2026-05-22
44.5,Put,0,0,0,0,0.0,50.71,0,0,0,0,0,2026-05-22
45.0,Call,840,0,0,0,0.02,58.39,0,0,0,0,0,2026-05-22
45.0,Put,0,0,0,0,0.0,50.71,0,0,0,0,0,2026-05-22
46.0,Call,51,0,0,0,0.0,64.08,0,0,0,0,0,2026-05-22
46.0,Put,0,0,0,0,0.0,50.71,0,0,0,0,0,2026-05-22
47.0,Call,41,0,0,0,0.0,69.42,0,0,0,0,0,2026-05-22
47.0,Put,0,0,0,0,0.0,50.71,0,0,0,0,0,2026-05-22
48.0,Call,70,0,0,0,0.0,7.58,0,0,0,0,0,2026-05-22
48.0,Put,0,0,0,0,0.0,50.71,0,0,0,0,0,2026-05-22
49.0,Call,0,0,0,0,0.0,97.61999999999999,0,0,0,0,0,2026-05-22
49.0,Put,0,0,0,0,0.0,50.71,0,0,0,0,0,2026-05-22
50.0,Call,50,0,0,0,0.0,117.55,0,0,0,0,0,2026-05-22
50.0,Put,0,0,0,0,0.0,50.71,0,0,0,0,0,2026-05-22
