Strike,OptionType,Open Int,Volume,Bid,Ask,Last,IV,Delta,Gamma,Vega,Theta,Moneyness,Expiry
15.0,Put,3,0,0,0,0.0,102.25999999999999,0,0,0,0,0,2026-06-18
15.0,Call,0,0,0,0,0.0,174.52,0,0,0,0,0,2026-06-18
16.0,Put,50002,0,0,0,0.0,189.28,0,0,0,0,0,2026-06-18
16.0,Call,0,0,0,0,0.0,163.67000000000002,0,0,0,0,0,2026-06-18
17.0,Put,2998,0,0,0,0.0,2.1918,0,0,0,0,0,2026-06-18
17.0,Call,0,0,0,0,0.0,153.51,0,0,0,0,0,2026-06-18
18.0,Put,0,0,0,0,0.0,2.0626,0,0,0,0,0,2026-06-18
18.0,Call,0,0,0,0,0.0,14.73,0,0,0,0,0,2026-06-18
19.0,Put,252,0,0,0,0.0,194.08,0,0,0,0,0,2026-06-18
19.0,Call,0,0,0,0,0.0,138.07,0,0,0,0,0,2026-06-18
20.0,Put,11052,0,0,0,0.0,182.54,0,0,0,0,0,2026-06-18
20.0,Call,21,0,0,0,0.0,12.93,0,0,0,0,0,2026-06-18
21.0,Put,25658,0,0,0,0.0,6.74,0,0,0,0,0,2026-06-18
21.0,Call,11,0,0,0,0.0,120.95,0,0,0,0,0,2026-06-18
22.0,Put,62041,0,0,0,0.0,62.56,0,0,0,0,0,2026-06-18
22.0,Call,0,0,0,0,0.0,99.86,0,0,0,0,0,2026-06-18
23.0,Put,24366,0,0,0,0.03,100.07,0,0,0,0,0,2026-06-18
23.0,Call,5,0,0,0,0.0,127.78,0,0,0,0,0,2026-06-18
24.0,Put,4640,0,0,0,0.0,91.67999999999999,0,0,0,0,0,2026-06-18
24.0,Call,0,0,0,0,0.0,120.71000000000001,0,0,0,0,0,2026-06-18
25.0,Call,53,0,0,0,0.0,96.91,0,0,0,0,0,2026-06-18
25.0,Put,84322,0,0,0,0.02,77.66999999999999,0,0,0,0,0,2026-06-18
26.0,Call,195,0,0,0,0.0,50.71,0,0,0,0,0,2026-06-18
26.0,Put,74347,201,0,0,0.01,48.55,0,0,0,0,0,2026-06-18
27.0,Call,5368,0,0,0,0.0,84.39,0,0,0,0,0,2026-06-18
27.0,Put,31540,0,0,0,0.03,51.019999999999996,0,0,0,0,0,2026-06-18
28.0,Call,2177,0,0,0,0.0,78.99000000000001,0,0,0,0,0,2026-06-18
28.0,Put,66350,0,0,0,0.03,59.150000000000006,0,0,0,0,0,2026-06-18
29.0,Call,24726,0,0,0,0.0,61.11,0,0,0,0,0,2026-06-18
29.0,Put,25874,10,0,0,0.04,43.72,0,0,0,0,0,2026-06-18
30.0,Put,24240,0,0,0,0.06,43.11,0,0,0,0,0,2026-06-18
30.0,Call,9870,0,0,0,9.13,85.13,0,0,0,0,0,2026-06-18
31.0,Put,2841,0,0,0,0.08,38.79,0,0,0,0,0,2026-06-18
31.0,Call,4809,5,0,0,7.7,45.43,0,0,0,0,0,2026-06-18
32.0,Put,9232,8,0,0,0.1,36.09,0,0,0,0,0,2026-06-18
32.0,Call,34041,0,0,0,8.0,50.529999999999994,0,0,0,0,0,2026-06-18
33.0,Put,21276,3,0,0,0.25,393.0,0,0,0,0,0,2026-06-18
33.0,Call,17597,0,0,0,6.55,49.35,0,0,0,0,0,2026-06-18
34.0,Put,7331,453,0,0,0.25,33.58,0,0,0,0,0,2026-06-18
34.0,Call,12962,0,0,0,5.64,43.65,0,0,0,0,0,2026-06-18
35.0,Call,34092,6,0,0,3.95,34.63,0,0,0,0,0,2026-06-18
35.0,Put,33320,5419,0,0,0.38,32.25,0,0,0,0,0,2026-06-18
36.0,Call,26187,11,0,0,3.23,35.620000000000005,0,0,0,0,0,2026-06-18
36.0,Put,22141,975,0,0,0.56,30.759999999999998,0,0,0,0,0,2026-06-18
37.0,Put,14940,22,0,0,0.87,306.0,0,0,0,0,0,2026-06-18
38.0,Call,20538,660,0,0,1.76,30.72,0,0,0,0,0,2026-06-18
38.0,Put,10864,11,0,0,1.25,29.82,0,0,0,0,0,2026-06-18
39.0,Call,11295,152,0,0,1.27,30.53,0,0,0,0,0,2026-06-18
39.0,Put,6162,5008,0,0,1.7,28.33,0,0,0,0,0,2026-06-18
40.0,Call,110780,10591,0,0,0.85,29.609999999999996,0,0,0,0,0,2026-06-18
40.0,Put,37023,3,0,0,2.36,28.96,0,0,0,0,0,2026-06-18
41.0,Call,53570,2286,0,0,0.52,28.360000000000003,0,0,0,0,0,2026-06-18
41.0,Put,6453,1,0,0,2.96,25.790000000000003,0,0,0,0,0,2026-06-18
42.0,Call,92148,1170,0,0,0.34,28.71,0,0,0,0,0,2026-06-18
42.0,Put,261,1,0,0,3.88,28.77,0,0,0,0,0,2026-06-18
43.0,Call,69485,2228,0,0,0.21,28.76,0,0,0,0,0,2026-06-18
43.0,Put,115,0,0,0,4.15,50.71,0,0,0,0,0,2026-06-18
44.0,Call,82404,71,0,0,0.14,29.56,0,0,0,0,0,2026-06-18
44.0,Put,224,0,0,0,4.54,50.71,0,0,0,0,0,2026-06-18
45.0,Call,75150,2515,0,0,0.07,28.63,0,0,0,0,0,2026-06-18
