Strike,OptionType,Open Int,Volume,Bid,Ask,Last,IV,Delta,Gamma,Vega,Theta,Moneyness,Expiry
23.0,Put,0,0,0,0,0.0,127.78,0,0,0,0,0,2026-06-30
23.0,Call,1,0,0,0,0.0,9.45,0,0,0,0,0,2026-06-30
24.0,Put,1,0,0,0,0.0,112.04,0,0,0,0,0,2026-06-30
24.0,Call,0,0,0,0,0.0,87.96000000000001,0,0,0,0,0,2026-06-30
25.0,Put,10,0,0,0,0.0,95.06,0,0,0,0,0,2026-06-30
25.0,Call,0,0,0,0,0.0,83.44,0,0,0,0,0,2026-06-30
26.0,Call,12,0,0,0,0.0,77.24,0,0,0,0,0,2026-06-30
26.0,Put,2,0,0,0,0.0,107.62,0,0,0,0,0,2026-06-30
27.0,Call,0,0,0,0,0.0,86.05000000000001,0,0,0,0,0,2026-06-30
27.0,Put,6,0,0,0,0.0,100.21,0,0,0,0,0,2026-06-30
28.0,Put,3,0,0,0,0.0,93.0,0,0,0,0,0,2026-06-30
28.0,Call,0,0,0,0,0.0,79.38,0,0,0,0,0,2026-06-30
29.0,Call,2,0,0,0,0.0,72.88,0,0,0,0,0,2026-06-30
30.0,Call,43,0,0,0,9.1,6.74,0,0,0,0,0,2026-06-30
30.0,Put,26,0,0,0,0.0,58.93000000000001,0,0,0,0,0,2026-06-30
31.0,Call,15,0,0,0,0.0,52.0,0,0,0,0,0,2026-06-30
31.0,Put,21,0,0,0,0.0,53.13,0,0,0,0,0,2026-06-30
32.0,Call,200,0,0,0,0.0,47.33,0,0,0,0,0,2026-06-30
32.0,Put,571,0,0,0,0.0,31.89,0,0,0,0,0,2026-06-30
33.0,Call,44,0,0,0,0.0,42.54,0,0,0,0,0,2026-06-30
33.0,Put,319,0,0,0,0.0,368.0,0,0,0,0,0,2026-06-30
34.0,Call,23,0,0,0,0.0,47.69,0,0,0,0,0,2026-06-30
34.0,Put,4,0,0,0,0.0,32.96,0,0,0,0,0,2026-06-30
35.0,Call,103,0,0,0,5.15,38.79,0,0,0,0,0,2026-06-30
35.0,Put,87,0,0,0,0.7,30.48,0,0,0,0,0,2026-06-30
36.0,Call,13,0,0,0,0.0,402.0,0,0,0,0,0,2026-06-30
36.0,Put,461,0,0,0,0.0,29.459999999999997,0,0,0,0,0,2026-06-30
37.0,Call,17,0,0,0,0.0,32.83,0,0,0,0,0,2026-06-30
37.0,Put,450,0,0,0,0.78,27.229999999999997,0,0,0,0,0,2026-06-30
37.0,Put,450,0,0,0,0.78,27.229999999999997,0,0,0,0,0,2026-06-30
38.0,Call,85,359,0,0,2.21,35.44,0,0,0,0,0,2026-06-30
38.0,Put,7,1,0,0,1.39,28.000000000000004,0,0,0,0,0,2026-06-30
39.0,Call,184,0,0,0,1.75,358.0,0,0,0,0,0,2026-06-30
39.0,Put,25,0,0,0,0.0,26.13,0,0,0,0,0,2026-06-30
40.0,Call,1125,712,0,0,0.94,27.91,0,0,0,0,0,2026-06-30
40.0,Put,2,0,0,0,0.0,26.47,0,0,0,0,0,2026-06-30
41.0,Call,245,362,0,0,0.7,28.89,0,0,0,0,0,2026-06-30
41.0,Put,0,712,0,0,3.1,24.58,0,0,0,0,0,2026-06-30
42.0,Call,258,0,0,0,0.87,36.89,0,0,0,0,0,2026-06-30
42.0,Put,375,0,0,0,0.0,22.78,0,0,0,0,0,2026-06-30
43.0,Call,37,0,0,0,0.0,37.92,0,0,0,0,0,2026-06-30
43.0,Put,0,0,0,0,0.0,29.09,0,0,0,0,0,2026-06-30
44.0,Call,4591,0,0,0,0.31,36.54,0,0,0,0,0,2026-06-30
44.0,Put,0,0,0,0,0.0,50.71,0,0,0,0,0,2026-06-30
45.0,Call,5295,0,0,0,0.0,38.080000000000005,0,0,0,0,0,2026-06-30
45.0,Put,0,0,0,0,0.0,50.71,0,0,0,0,0,2026-06-30
46.0,Call,2,0,0,0,0.0,41.72,0,0,0,0,0,2026-06-30
46.0,Put,0,0,0,0,0.0,50.71,0,0,0,0,0,2026-06-30
47.0,Call,23,0,0,0,0.0,47.0,0,0,0,0,0,2026-06-30
47.0,Put,1,0,0,0,0.0,50.71,0,0,0,0,0,2026-06-30
48.0,Call,1454,0,0,0,0.0,46.26,0,0,0,0,0,2026-06-30
48.0,Put,0,0,0,0,0.0,50.71,0,0,0,0,0,2026-06-30
49.0,Call,4538,0,0,0,0.0,48.28,0,0,0,0,0,2026-06-30
49.0,Put,0,0,0,0,0.0,34.14,0,0,0,0,0,2026-06-30
50.0,Call,1,0,0,0,0.0,61.129999999999995,0,0,0,0,0,2026-06-30
50.0,Put,0,0,0,0,0.0,50.71,0,0,0,0,0,2026-06-30
