Strike,OptionType,Open Int,Volume,Bid,Ask,Last,IV,Delta,Gamma,Vega,Theta,Moneyness,Expiry
20.0,Call,118,0,0,0,0.0,50.71,0,0,0,0,0,2028-01-21
20.0,Put,13,0,0,0,0.0,41.760000000000005,0,0,0,0,0,2028-01-21
21.0,Call,0,0,0,0,0.0,64.79,0,0,0,0,0,2028-01-21
21.0,Put,1,0,0,0,0.0,39.43,0,0,0,0,0,2028-01-21
22.0,Call,2,0,0,0,0.0,57.08,0,0,0,0,0,2028-01-21
22.0,Put,1546,0,0,0,0.0,37.36,0,0,0,0,0,2028-01-21
23.0,Call,2,0,0,0,0.0,60.12,0,0,0,0,0,2028-01-21
23.0,Put,1500,0,0,0,0.0,31.879999999999995,0,0,0,0,0,2028-01-21
24.0,Call,1,0,0,0,0.0,59.58,0,0,0,0,0,2028-01-21
24.0,Put,1,0,0,0,0.0,30.570000000000004,0,0,0,0,0,2028-01-21
25.0,Put,1560,0,0,0,0.0,31.16,0,0,0,0,0,2028-01-21
25.0,Call,20,0,0,0,0.0,58.379999999999995,0,0,0,0,0,2028-01-21
26.0,Put,6,0,0,0,0.0,34.18,0,0,0,0,0,2028-01-21
26.0,Call,22,0,0,0,0.0,56.169999999999995,0,0,0,0,0,2028-01-21
27.0,Put,21,0,0,0,0.0,31.36,0,0,0,0,0,2028-01-21
27.0,Call,25,0,0,0,0.0,48.93,0,0,0,0,0,2028-01-21
28.0,Put,41,0,0,0,0.0,30.37,0,0,0,0,0,2028-01-21
28.0,Call,219,0,0,0,12.95,48.809999999999995,0,0,0,0,0,2028-01-21
29.0,Call,26,0,0,0,0.0,45.79,0,0,0,0,0,2028-01-21
29.0,Put,154,0,0,0,0.0,26.93,0,0,0,0,0,2028-01-21
30.0,Call,3028,19,0,0,11.24,469.0,0,0,0,0,0,2028-01-21
30.0,Put,704,0,0,0,2.48,27.67,0,0,0,0,0,2028-01-21
31.0,Call,105,0,0,0,0.0,46.18,0,0,0,0,0,2028-01-21
31.0,Put,638,0,0,0,2.77,28.78,0,0,0,0,0,2028-01-21
32.0,Call,214,0,0,0,0.0,45.129999999999995,0,0,0,0,0,2028-01-21
32.0,Put,126,1,0,0,3.34,28.999999999999996,0,0,0,0,0,2028-01-21
33.0,Call,442,0,0,0,0.0,47.449999999999996,0,0,0,0,0,2028-01-21
33.0,Put,4,0,0,0,0.0,27.21,0,0,0,0,0,2028-01-21
34.0,Call,97,1,0,0,8.5,42.21,0,0,0,0,0,2028-01-21
34.0,Put,14,0,0,0,0.0,23.65,0,0,0,0,0,2028-01-21
35.0,Put,364,0,0,0,4.28,26.61,0,0,0,0,0,2028-01-21
35.0,Call,1465,0,0,0,8.57,43.39,0,0,0,0,0,2028-01-21
36.0,Put,14,0,0,0,0.0,25.06,0,0,0,0,0,2028-01-21
36.0,Call,290,0,0,0,8.5,41.15,0,0,0,0,0,2028-01-21
37.0,Call,75,0,0,0,7.8,42.49,0,0,0,0,0,2028-01-21
38.0,Call,202,0,0,0,7.35,40.23,0,0,0,0,0,2028-01-21
38.0,Put,4,0,0,0,0.0,22.939999999999998,0,0,0,0,0,2028-01-21
39.0,Call,272,105,0,0,6.7,434.0,0,0,0,0,0,2028-01-21
39.0,Put,3,0,0,0,0.0,22.18,0,0,0,0,0,2028-01-21
40.0,Call,536,2,0,0,5.93,40.97,0,0,0,0,0,2028-01-21
40.0,Put,261,1,0,0,6.59,21.91,0,0,0,0,0,2028-01-21
41.0,Call,61,0,0,0,0.0,423.0,0,0,0,0,0,2028-01-21
41.0,Put,2,0,0,0,0.0,19.99,0,0,0,0,0,2028-01-21
42.0,Call,116,0,0,0,5.29,41.620000000000005,0,0,0,0,0,2028-01-21
42.0,Put,15,0,0,0,0.0,18.45,0,0,0,0,0,2028-01-21
43.0,Call,119,0,0,0,5.6,39.86,0,0,0,0,0,2028-01-21
43.0,Put,0,0,0,0,0.0,16.21,0,0,0,0,0,2028-01-21
44.0,Call,96,0,0,0,0.0,39.46,0,0,0,0,0,2028-01-21
44.0,Put,0,0,0,0,0.0,15.659999999999998,0,0,0,0,0,2028-01-21
45.0,Call,1703,0,0,0,4.3,404.0,0,0,0,0,0,2028-01-21
45.0,Put,3,0,0,0,0.0,17.02,0,0,0,0,0,2028-01-21
46.0,Call,158,0,0,0,0.0,39.65,0,0,0,0,0,2028-01-21
46.0,Put,0,0,0,0,0.0,12.02,0,0,0,0,0,2028-01-21
47.0,Call,13,0,0,0,3.91,38.46,0,0,0,0,0,2028-01-21
47.0,Put,0,0,0,0,0.0,50.71,0,0,0,0,0,2028-01-21
48.0,Call,103,0,0,0,3.85,38.42,0,0,0,0,0,2028-01-21
48.0,Put,0,0,0,0,0.0,9.24,0,0,0,0,0,2028-01-21
49.0,Call,10,0,0,0,0.0,36.09,0,0,0,0,0,2028-01-21
49.0,Put,0,0,0,0,0.0,50.71,0,0,0,0,0,2028-01-21
50.0,Call,2232,0,0,0,3.3,39.129999999999995,0,0,0,0,0,2028-01-21
50.0,Put,1,0,0,0,0.0,50.71,0,0,0,0,0,2028-01-21
51.0,Call,5,0,0,0,0.0,36.49,0,0,0,0,0,2028-01-21
51.0,Put,0,0,0,0,0.0,50.71,0,0,0,0,0,2028-01-21
52.0,Call,180,0,0,0,2.5,39.07,0,0,0,0,0,2028-01-21
52.0,Put,0,0,0,0,0.0,50.71,0,0,0,0,0,2028-01-21
53.0,Call,426,0,0,0,2.46,39.45,0,0,0,0,0,2028-01-21
53.0,Put,0,0,0,0,0.0,50.71,0,0,0,0,0,2028-01-21
54.0,Call,0,0,0,0,0.0,34.53,0,0,0,0,0,2028-01-21
54.0,Put,0,0,0,0,0.0,50.71,0,0,0,0,0,2028-01-21
55.0,Call,1268,2,0,0,2.05,37.12,0,0,0,0,0,2028-01-21
55.0,Put,0,0,0,0,0.0,50.71,0,0,0,0,0,2028-01-21
60.0,Call,0,0,0,0,0.0,42.82,0,0,0,0,0,2028-01-21
60.0,Put,0,0,0,0,0.0,50.71,0,0,0,0,0,2028-01-21
