Strike,OptionType,Open Int,Volume,Bid,Ask,Last,IV,Delta,Gamma,Vega,Theta,Moneyness,Expiry
25.0,Put,0,0,0,0,0.0,106.81,0,0,0,0,0,2026-06-12
25.0,Call,0,0,0,0,0.0,102.03999999999999,0,0,0,0,0,2026-06-12
27.0,Call,0,0,0,0,0.0,87.07000000000001,0,0,0,0,0,2026-06-12
27.0,Put,0,0,0,0,0.0,90.71000000000001,0,0,0,0,0,2026-06-12
28.0,Call,0,0,0,0,0.0,78.08,0,0,0,0,0,2026-06-12
28.0,Put,0,0,0,0,0.0,83.64,0,0,0,0,0,2026-06-12
29.0,Put,0,0,0,0,0.0,108.11999999999999,0,0,0,0,0,2026-06-12
29.0,Call,0,0,0,0,0.0,106.35,0,0,0,0,0,2026-06-12
29.0,Call,0,0,0,0,0.0,106.35,0,0,0,0,0,2026-06-12
30.0,Put,0,0,0,0,0.0,99.13,0,0,0,0,0,2026-06-12
30.0,Call,0,0,0,0,0.0,83.69,0,0,0,0,0,2026-06-12
31.0,Put,0,0,0,0,0.0,90.66,0,0,0,0,0,2026-06-12
31.0,Call,1,0,0,0,9.11,7.69,0,0,0,0,0,2026-06-12
32.0,Put,0,0,0,0,0.0,56.54,0,0,0,0,0,2026-06-12
32.0,Call,0,0,0,0,0.0,66.25,0,0,0,0,0,2026-06-12
33.0,Put,354,0,0,0,0.0,38.71,0,0,0,0,0,2026-06-12
33.0,Call,0,0,0,0,0.0,58.75,0,0,0,0,0,2026-06-12
33.5,Put,0,0,0,0,0.0,49.55,0,0,0,0,0,2026-06-12
33.5,Call,0,0,0,0,0.0,59.28,0,0,0,0,0,2026-06-12
34.0,Put,0,0,0,0,0.0,34.42,0,0,0,0,0,2026-06-12
34.0,Call,0,0,0,0,0.0,52.11,0,0,0,0,0,2026-06-12
34.5,Put,0,0,0,0,0.0,38.92,0,0,0,0,0,2026-06-12
34.5,Call,0,0,0,0,0.0,53.0,0,0,0,0,0,2026-06-12
