Strike,OptionType,Open Int,Volume,Bid,Ask,Last,IV,Delta,Gamma,Vega,Theta,Moneyness,Expiry
15.0,Put,8085,10,0,0,0.04,49.17,0,0,0,0,0,2027-01-15
15.0,Call,1796,0,0,0,0.0,87.06,0,0,0,0,0,2027-01-15
19.0,Put,7610,0,0,0,0.13,492.0,0,0,0,0,0,2027-01-15
19.0,Call,1,0,0,0,0.0,69.17,0,0,0,0,0,2027-01-15
20.0,Put,5798,0,0,0,0.0,45.48,0,0,0,0,0,2027-01-15
20.0,Call,751,0,0,0,19.91,67.89,0,0,0,0,0,2027-01-15
21.0,Put,10800,0,0,0,0.2,45.550000000000004,0,0,0,0,0,2027-01-15
21.0,Call,3,0,0,0,0.0,70.26,0,0,0,0,0,2027-01-15
22.0,Put,2813,20,0,0,0.26,41.72,0,0,0,0,0,2027-01-15
22.0,Call,453,0,0,0,0.0,67.07,0,0,0,0,0,2027-01-15
23.0,Put,11020,0,0,0,0.0,41.120000000000005,0,0,0,0,0,2027-01-15
23.0,Call,2698,0,0,0,17.06,58.02,0,0,0,0,0,2027-01-15
24.0,Call,72,0,0,0,16.1,61.82,0,0,0,0,0,2027-01-15
24.0,Put,1622,0,0,0,0.31,37.419999999999995,0,0,0,0,0,2027-01-15
25.0,Call,568,0,0,0,0.0,57.330000000000005,0,0,0,0,0,2027-01-15
25.0,Put,10735,0,0,0,0.42,37.85,0,0,0,0,0,2027-01-15
26.0,Call,706,0,0,0,14.04,53.010000000000005,0,0,0,0,0,2027-01-15
26.0,Put,692,7,0,0,0.54,37.03,0,0,0,0,0,2027-01-15
27.0,Call,232,0,0,0,12.95,52.15,0,0,0,0,0,2027-01-15
27.0,Put,2268,0,0,0,0.0,36.27,0,0,0,0,0,2027-01-15
28.0,Call,905,0,0,0,0.0,51.949999999999996,0,0,0,0,0,2027-01-15
28.0,Put,15942,0,0,0,0.0,35.67,0,0,0,0,0,2027-01-15
29.0,Call,1008,0,0,0,11.7,48.449999999999996,0,0,0,0,0,2027-01-15
29.0,Put,1038,10,0,0,1.02,35.58,0,0,0,0,0,2027-01-15
30.0,Call,24211,26,0,0,9.6,44.05,0,0,0,0,0,2027-01-15
30.0,Put,16225,218,0,0,1.26,34.56,0,0,0,0,0,2027-01-15
31.0,Call,1321,0,0,0,9.66,46.52,0,0,0,0,0,2027-01-15
31.0,Put,2894,2,0,0,1.36,333.0,0,0,0,0,0,2027-01-15
32.0,Call,813,0,0,0,8.89,45.24,0,0,0,0,0,2027-01-15
32.0,Put,7500,5,0,0,1.66,332.0,0,0,0,0,0,2027-01-15
33.0,Call,17786,14,0,0,7.66,44.12,0,0,0,0,0,2027-01-15
33.0,Put,6517,0,0,0,0.0,33.25,0,0,0,0,0,2027-01-15
34.0,Call,1067,0,0,0,7.92,43.07,0,0,0,0,0,2027-01-15
34.0,Put,209,7,0,0,2.33,32.550000000000004,0,0,0,0,0,2027-01-15
34.0,Call,1067,0,0,0,7.92,43.07,0,0,0,0,0,2027-01-15
34.0,Put,209,7,0,0,2.33,32.550000000000004,0,0,0,0,0,2027-01-15
35.0,Put,8869,200,0,0,2.72,32.21,0,0,0,0,0,2027-01-15
35.0,Call,9679,3,0,0,6.41,42.83,0,0,0,0,0,2027-01-15
36.0,Put,6596,0,0,0,0.0,31.019999999999996,0,0,0,0,0,2027-01-15
36.0,Call,2823,0,0,0,6.5,42.559999999999995,0,0,0,0,0,2027-01-15
37.0,Put,35064,0,0,0,0.0,30.769999999999996,0,0,0,0,0,2027-01-15
38.0,Call,8826,6,0,0,4.73,40.589999999999996,0,0,0,0,0,2027-01-15
38.0,Put,6047,0,0,0,3.6,30.18,0,0,0,0,0,2027-01-15
39.0,Call,1125,7,0,0,4.18,39.42,0,0,0,0,0,2027-01-15
