Strike,OptionType,Open Int,Volume,Bid,Ask,Last,IV,Delta,Gamma,Vega,Theta,Moneyness,Expiry
27.0,Call,1,0,0,0,0.0,50.18,0,0,0,0,0,2027-03-31
27.0,Put,2,0,0,0,0.73,33.78,0,0,0,0,0,2027-03-31
28.0,Call,0,0,0,0,0.0,48.77,0,0,0,0,0,2027-03-31
28.0,Put,0,0,0,0,0.0,41.160000000000004,0,0,0,0,0,2027-03-31
29.0,Call,2,0,0,0,0.0,44.67,0,0,0,0,0,2027-03-31
30.0,Put,0,0,0,0,0.0,29.87,0,0,0,0,0,2027-03-31
30.0,Call,2,0,0,0,0.0,48.63,0,0,0,0,0,2027-03-31
31.0,Put,0,0,0,0,0.0,33.879999999999995,0,0,0,0,0,2027-03-31
31.0,Call,2,0,0,0,0.0,43.46,0,0,0,0,0,2027-03-31
32.0,Put,0,0,0,0,0.0,27.560000000000002,0,0,0,0,0,2027-03-31
32.0,Call,0,0,0,0,0.0,436.0,0,0,0,0,0,2027-03-31
33.0,Put,0,0,0,0,0.0,31.540000000000003,0,0,0,0,0,2027-03-31
33.0,Call,0,0,0,0,0.0,43.37,0,0,0,0,0,2027-03-31
34.0,Put,0,0,0,0,0.0,30.470000000000002,0,0,0,0,0,2027-03-31
34.0,Call,7,0,0,0,7.98,456.0,0,0,0,0,0,2027-03-31
35.0,Call,0,0,0,0,0.0,42.43,0,0,0,0,0,2027-03-31
35.0,Put,0,0,0,0,0.0,31.730000000000004,0,0,0,0,0,2027-03-31
36.0,Call,1,0,0,0,0.0,37.84,0,0,0,0,0,2027-03-31
36.0,Put,0,0,0,0,0.0,288.0,0,0,0,0,0,2027-03-31
38.0,Call,5,0,0,0,0.0,37.019999999999996,0,0,0,0,0,2027-03-31
38.0,Put,0,0,0,0,0.0,27.310000000000002,0,0,0,0,0,2027-03-31
39.0,Call,0,0,0,0,0.0,37.55,0,0,0,0,0,2027-03-31
39.0,Put,0,0,0,0,0.0,26.02,0,0,0,0,0,2027-03-31
40.0,Call,105,3,0,0,3.9,36.480000000000004,0,0,0,0,0,2027-03-31
40.0,Put,0,0,0,0,0.0,25.56,0,0,0,0,0,2027-03-31
41.0,Call,14,0,0,0,0.0,38.14,0,0,0,0,0,2027-03-31
41.0,Put,0,0,0,0,0.0,25.779999999999998,0,0,0,0,0,2027-03-31
42.0,Call,0,0,0,0,0.0,38.0,0,0,0,0,0,2027-03-31
42.0,Put,0,0,0,0,0.0,26.96,0,0,0,0,0,2027-03-31
43.0,Call,0,0,0,0,0.0,38.080000000000005,0,0,0,0,0,2027-03-31
43.0,Put,0,0,0,0,0.0,248.0,0,0,0,0,0,2027-03-31
44.0,Call,0,0,0,0,0.0,37.11,0,0,0,0,0,2027-03-31
44.0,Put,0,0,0,0,0.0,25.540000000000003,0,0,0,0,0,2027-03-31
45.0,Call,0,0,0,0,0.0,39.28,0,0,0,0,0,2027-03-31
45.0,Put,0,0,0,0,0.0,25.64,0,0,0,0,0,2027-03-31
46.0,Call,0,0,0,0,0.0,39.09,0,0,0,0,0,2027-03-31
46.0,Put,0,0,0,0,0.0,21.65,0,0,0,0,0,2027-03-31
47.0,Call,8,0,0,0,2.2,36.01,0,0,0,0,0,2027-03-31
47.0,Put,0,0,0,0,0.0,20.41,0,0,0,0,0,2027-03-31
48.0,Call,0,0,0,0,0.0,36.18,0,0,0,0,0,2027-03-31
48.0,Put,0,0,0,0,0.0,18.759999999999998,0,0,0,0,0,2027-03-31
49.0,Call,750,0,0,0,0.0,406.0,0,0,0,0,0,2027-03-31
49.0,Put,0,0,0,0,0.0,50.71,0,0,0,0,0,2027-03-31
50.0,Call,2,0,0,0,0.0,40.949999999999996,0,0,0,0,0,2027-03-31
50.0,Put,0,0,0,0,0.0,50.71,0,0,0,0,0,2027-03-31
