Strike,OptionType,Open Int,Volume,Bid,Ask,Last,IV,Delta,Gamma,Vega,Theta,Moneyness,Expiry
25.0,Put,0,0,0,0,0.0,137.98999999999998,0,0,0,0,0,2026-05-29
25.0,Call,0,0,0,0,0.0,15.52,0,0,0,0,0,2026-05-29
27.0,Put,0,0,0,0,0.0,108.75999999999999,0,0,0,0,0,2026-05-29
27.0,Call,0,0,0,0,0.0,153.54000000000002,0,0,0,0,0,2026-05-29
28.0,Put,0,0,0,0,0.0,116.21,0,0,0,0,0,2026-05-29
28.0,Call,0,0,0,0,0.0,109.16999999999999,0,0,0,0,0,2026-05-29
29.0,Put,0,0,0,0,0.0,90.86999999999999,0,0,0,0,0,2026-05-29
29.0,Call,0,0,0,0,0.0,118.95,0,0,0,0,0,2026-05-29
30.0,Call,7,0,0,0,9.4,79.88,0,0,0,0,0,2026-05-29
30.0,Put,0,0,0,0,0.0,89.77000000000001,0,0,0,0,0,2026-05-29
31.0,Call,0,0,0,0,0.0,96.99,0,0,0,0,0,2026-05-29
31.0,Put,0,0,0,0,0.0,64.27000000000001,0,0,0,0,0,2026-05-29
32.0,Call,0,1,0,0,6.92,72.23,0,0,0,0,0,2026-05-29
32.0,Put,0,0,0,0,0.0,47.910000000000004,0,0,0,0,0,2026-05-29
33.0,Call,0,0,0,0,0.0,80.75,0,0,0,0,0,2026-05-29
33.0,Put,1,0,0,0,0.11,50.06,0,0,0,0,0,2026-05-29
33.5,Put,0,0,0,0,0.0,46.69,0,0,0,0,0,2026-05-29
33.5,Call,0,0,0,0,0.0,77.95,0,0,0,0,0,2026-05-29
34.0,Call,0,0,0,0,0.0,66.17,0,0,0,0,0,2026-05-29
34.0,Put,0,0,0,0,0.0,49.84,0,0,0,0,0,2026-05-29
34.5,Call,0,0,0,0,0.0,56.730000000000004,0,0,0,0,0,2026-05-29
34.5,Put,0,0,0,0,0.0,39.45,0,0,0,0,0,2026-05-29
35.0,Put,30,0,0,0,0.0,44.57,0,0,0,0,0,2026-05-29
35.0,Call,2,0,0,0,5.12,5.74,0,0,0,0,0,2026-05-29
35.5,Put,4,0,0,0,0.15,36.480000000000004,0,0,0,0,0,2026-05-29
35.5,Call,0,0,0,0,0.0,55.34,0,0,0,0,0,2026-05-29
36.0,Put,168,2,0,0,0.22,31.269999999999996,0,0,0,0,0,2026-05-29
36.0,Call,2,0,0,0,4.05,444.0,0,0,0,0,0,2026-05-29
36.5,Call,3,0,0,0,0.0,39.92,0,0,0,0,0,2026-05-29
36.5,Put,706,0,0,0,0.2,30.72,0,0,0,0,0,2026-05-29
