Strike,OptionType,Open Int,Volume,Bid,Ask,Last,IV,Delta,Gamma,Vega,Theta,Moneyness,Expiry
23.0,Call,0,0,0,0,0.0,58.36,0,0,0,0,0,2026-12-31
23.0,Put,4,0,0,0,0.0,53.89000000000001,0,0,0,0,0,2026-12-31
24.0,Put,0,0,0,0,0.0,55.97,0,0,0,0,0,2026-12-31
24.0,Call,0,0,0,0,0.0,59.95,0,0,0,0,0,2026-12-31
25.0,Put,0,0,0,0,0.0,53.339999999999996,0,0,0,0,0,2026-12-31
25.0,Call,0,0,0,0,0.0,58.940000000000005,0,0,0,0,0,2026-12-31
26.0,Put,250,0,0,0,0.0,43.08,0,0,0,0,0,2026-12-31
26.0,Call,0,0,0,0,0.0,56.28999999999999,0,0,0,0,0,2026-12-31
27.0,Put,50,0,0,0,0.0,37.55,0,0,0,0,0,2026-12-31
27.0,Call,2,0,0,0,0.0,54.75,0,0,0,0,0,2026-12-31
28.0,Call,1,0,0,0,0.0,53.03,0,0,0,0,0,2026-12-31
28.0,Put,0,0,0,0,0.0,35.88,0,0,0,0,0,2026-12-31
29.0,Call,1,0,0,0,0.0,51.160000000000004,0,0,0,0,0,2026-12-31
29.0,Put,0,0,0,0,0.0,35.260000000000005,0,0,0,0,0,2026-12-31
30.0,Call,1,0,0,0,0.0,49.13,0,0,0,0,0,2026-12-31
30.0,Put,10,0,0,0,0.0,41.010000000000005,0,0,0,0,0,2026-12-31
31.0,Call,0,0,0,0,0.0,50.88,0,0,0,0,0,2026-12-31
31.0,Put,0,0,0,0,0.0,34.64,0,0,0,0,0,2026-12-31
32.0,Call,0,0,0,0,0.0,47.02,0,0,0,0,0,2026-12-31
32.0,Put,1,0,0,0,0.0,35.68,0,0,0,0,0,2026-12-31
33.0,Call,0,0,0,0,0.0,46.27,0,0,0,0,0,2026-12-31
33.0,Put,0,0,0,0,0.0,30.42,0,0,0,0,0,2026-12-31
34.0,Call,1,0,0,0,0.0,44.51,0,0,0,0,0,2026-12-31
34.0,Put,14,10,0,0,2.17,32.24,0,0,0,0,0,2026-12-31
35.0,Put,0,0,0,0,0.0,32.85,0,0,0,0,0,2026-12-31
35.0,Call,74,0,0,0,6.83,43.94,0,0,0,0,0,2026-12-31
36.0,Put,255,0,0,0,0.0,34.07,0,0,0,0,0,2026-12-31
36.0,Call,67,0,0,0,0.0,42.64,0,0,0,0,0,2026-12-31
37.0,Put,3,0,0,0,3.15,30.65,0,0,0,0,0,2026-12-31
38.0,Call,27,0,0,0,4.73,40.64,0,0,0,0,0,2026-12-31
38.0,Put,0,0,0,0,0.0,30.55,0,0,0,0,0,2026-12-31
39.0,Call,90,2,0,0,4.25,40.949999999999996,0,0,0,0,0,2026-12-31
39.0,Put,0,0,0,0,0.0,307.0,0,0,0,0,0,2026-12-31
40.0,Call,186,0,0,0,4.0,39.71,0,0,0,0,0,2026-12-31
40.0,Put,1,0,0,0,4.7,28.34,0,0,0,0,0,2026-12-31
41.0,Call,25,10,0,0,3.26,38.72,0,0,0,0,0,2026-12-31
41.0,Put,0,0,0,0,0.0,27.98,0,0,0,0,0,2026-12-31
42.0,Call,79,10,0,0,3.0,39.22,0,0,0,0,0,2026-12-31
42.0,Put,0,0,0,0,0.0,26.790000000000003,0,0,0,0,0,2026-12-31
43.0,Call,3,0,0,0,0.0,39.01,0,0,0,0,0,2026-12-31
43.0,Put,0,0,0,0,0.0,25.36,0,0,0,0,0,2026-12-31
44.0,Call,3,0,0,0,0.0,377.0,0,0,0,0,0,2026-12-31
44.0,Put,0,0,0,0,0.0,26.619999999999997,0,0,0,0,0,2026-12-31
45.0,Call,22,0,0,0,2.75,39.67,0,0,0,0,0,2026-12-31
45.0,Put,0,0,0,0,0.0,248.0,0,0,0,0,0,2026-12-31
46.0,Call,2,0,0,0,0.0,40.489999999999995,0,0,0,0,0,2026-12-31
46.0,Put,0,0,0,0,0.0,27.46,0,0,0,0,0,2026-12-31
47.0,Call,0,0,0,0,0.0,37.19,0,0,0,0,0,2026-12-31
47.0,Put,0,0,0,0,0.0,23.94,0,0,0,0,0,2026-12-31
48.0,Call,5,0,0,0,1.57,39.46,0,0,0,0,0,2026-12-31
48.0,Put,0,0,0,0,0.0,23.68,0,0,0,0,0,2026-12-31
49.0,Call,0,0,0,0,0.0,38.26,0,0,0,0,0,2026-12-31
49.0,Put,0,0,0,0,0.0,17.73,0,0,0,0,0,2026-12-31
50.0,Call,48,0,0,0,1.09,39.879999999999995,0,0,0,0,0,2026-12-31
50.0,Put,0,0,0,0,0.0,50.71,0,0,0,0,0,2026-12-31
