Strike,OptionType,Open Int,Volume,Bid,Ask,Last,IV,Delta,Gamma,Vega,Theta,Moneyness,Expiry
20.0,Call,0,0,0,0,0.0,2.9927,0,0,0,0,0,2026-05-15
20.0,Put,12,0,0,0,0.26,26.84,0,0,0,0,0,2026-05-15
21.0,Call,0,1,0,0,17.68,2.6009,0,0,0,0,0,2026-05-15
21.0,Put,7,0,0,0,0.0,2.9832,0,0,0,0,0,2026-05-15
22.0,Call,0,1,0,0,16.77,2.9848,0,0,0,0,0,2026-05-15
22.0,Put,162,0,0,0,0.0,2.7804,0,0,0,0,0,2026-05-15
23.0,Call,0,0,0,0,0.0,2.6926,0,0,0,0,0,2026-05-15
23.0,Put,628,0,0,0,0.0,3.0292,0,0,0,0,0,2026-05-15
24.0,Call,39,1,0,0,14.6,2.4992,0,0,0,0,0,2026-05-15
24.0,Put,9,0,0,0,0.26,2.3992,0,0,0,0,0,2026-05-15
25.0,Put,450,0,0,0,0.0,153.06,0,0,0,0,0,2026-05-15
25.0,Call,3,1,0,0,13.69,2.0007,0,0,0,0,0,2026-05-15
26.0,Put,108,0,0,0,0.0,2.0453,0,0,0,0,0,2026-05-15
26.0,Call,1,0,0,0,13.14,3.4216,0,0,0,0,0,2026-05-15
27.0,Call,30,2,0,0,11.71,179.53,0,0,0,0,0,2026-05-15
27.0,Put,5,0,0,0,0.0,2.9551,0,0,0,0,0,2026-05-15
28.0,Put,36,0,0,0,0.0,116.09,0,0,0,0,0,2026-05-15
28.0,Call,3,3,0,0,10.81,196.12,0,0,0,0,0,2026-05-15
30.0,Put,30215,0,0,0,0.01,93.25,0,0,0,0,0,2026-05-15
30.0,Call,33,0,0,0,0.0,146.37,0,0,0,0,0,2026-05-15
31.0,Put,344,0,0,0,0.01,89.23,0,0,0,0,0,2026-05-15
31.0,Call,284,21,0,0,7.62,50.71,0,0,0,0,0,2026-05-15
32.0,Put,23671,0,0,0,0.01,77.73,0,0,0,0,0,2026-05-15
32.0,Call,55,1,0,0,6.72,107.28999999999999,0,0,0,0,0,2026-05-15
33.0,Put,14855,221,0,0,0.01,66.43,0,0,0,0,0,2026-05-15
33.0,Call,341,13,0,0,5.7,87.03999999999999,0,0,0,0,0,2026-05-15
33.5,Put,0,0,0,0,0.0,64.39,0,0,0,0,0,2026-05-15
33.5,Call,0,2,0,0,5.13,92.25,0,0,0,0,0,2026-05-15
34.0,Call,200,16,0,0,4.72,78.38000000000001,0,0,0,0,0,2026-05-15
34.0,Put,1532,13,0,0,0.02,61.22,0,0,0,0,0,2026-05-15
34.5,Call,0,3,0,0,4.16,46.89,0,0,0,0,0,2026-05-15
34.5,Put,0,0,0,0,0.0,79.29,0,0,0,0,0,2026-05-15
35.0,Put,19820,41,0,0,0.02,49.24,0,0,0,0,0,2026-05-15
35.0,Call,817,0,0,0,4.38,80.51,0,0,0,0,0,2026-05-15
35.5,Put,0,0,0,0,0.0,46.52,0,0,0,0,0,2026-05-15
35.5,Call,0,1,0,0,3.25,61.86000000000001,0,0,0,0,0,2026-05-15
36.0,Put,15555,13,0,0,0.04,426.0,0,0,0,0,0,2026-05-15
36.0,Call,1833,3,0,0,2.75,54.14,0,0,0,0,0,2026-05-15
36.5,Put,7036,30,0,0,0.04,35.89,0,0,0,0,0,2026-05-15
36.5,Call,1,0,0,0,3.25,52.83,0,0,0,0,0,2026-05-15
37.0,Put,10603,1303,0,0,0.11,38.51,0,0,0,0,0,2026-05-15
37.0,Call,2031,11,0,0,1.84,47.510000000000005,0,0,0,0,0,2026-05-15
37.5,Call,97,1,0,0,1.61,58.57,0,0,0,0,0,2026-05-15
37.5,Put,2430,594,0,0,0.17,356.0,0,0,0,0,0,2026-05-15
38.0,Call,24118,69,0,0,0.96,36.54,0,0,0,0,0,2026-05-15
38.0,Put,38068,22968,0,0,0.28,33.739999999999995,0,0,0,0,0,2026-05-15
38.5,Call,689,18,0,0,0.64,35.22,0,0,0,0,0,2026-05-15
38.5,Put,672,411,0,0,0.47,33.28,0,0,0,0,0,2026-05-15
39.0,Call,8563,489,0,0,0.4,34.67,0,0,0,0,0,2026-05-15
39.0,Put,28641,1262,0,0,0.72,32.0,0,0,0,0,0,2026-05-15
39.5,Call,591,163,0,0,0.23,342.0,0,0,0,0,0,2026-05-15
39.5,Put,625,28,0,0,1.04,30.25,0,0,0,0,0,2026-05-15
40.0,Call,22099,459,0,0,0.12,33.73,0,0,0,0,0,2026-05-15
40.0,Put,5085,109,0,0,1.45,304.0,0,0,0,0,0,2026-05-15
40.5,Call,8381,10,0,0,0.06,33.83,0,0,0,0,0,2026-05-15
40.5,Put,15707,15624,0,0,1.83,50.71,0,0,0,0,0,2026-05-15
