Strike,OptionType,Open Int,Volume,Bid,Ask,Last,IV,Delta,Gamma,Vega,Theta,Moneyness,Expiry
25.0,Call,0,0,0,0,0.0,108.08,0,0,0,0,0,2026-06-05
25.0,Put,0,0,0,0,0.0,117.75,0,0,0,0,0,2026-06-05
27.0,Put,0,0,0,0,0.0,141.96,0,0,0,0,0,2026-06-05
27.0,Call,0,0,0,0,0.0,83.33,0,0,0,0,0,2026-06-05
28.0,Put,0,0,0,0,0.0,115.41,0,0,0,0,0,2026-06-05
28.0,Call,0,0,0,0,0.0,81.88,0,0,0,0,0,2026-06-05
29.0,Call,0,0,0,0,0.0,76.83,0,0,0,0,0,2026-06-05
29.0,Put,0,0,0,0,0.0,121.46,0,0,0,0,0,2026-06-05
30.0,Put,0,0,0,0,0.0,111.75999999999999,0,0,0,0,0,2026-06-05
30.0,Call,0,0,0,0,0.0,11.45,0,0,0,0,0,2026-06-05
31.0,Put,0,0,0,0,0.0,80.08999999999999,0,0,0,0,0,2026-06-05
31.0,Call,0,0,0,0,8.99,86.99,0,0,0,0,0,2026-06-05
32.0,Put,0,0,0,0,0.0,491.0,0,0,0,0,0,2026-06-05
32.0,Call,0,0,0,0,0.0,74.99,0,0,0,0,0,2026-06-05
33.0,Put,0,0,0,0,0.0,49.13,0,0,0,0,0,2026-06-05
33.0,Call,0,0,0,0,0.0,68.54,0,0,0,0,0,2026-06-05
33.5,Put,0,0,0,0,0.0,50.79,0,0,0,0,0,2026-06-05
33.5,Call,0,0,0,0,0.0,63.27,0,0,0,0,0,2026-06-05
34.0,Call,0,12,0,0,5.12,55.94,0,0,0,0,0,2026-06-05
34.0,Put,2,0,0,0,0.0,31.94,0,0,0,0,0,2026-06-05
34.5,Call,0,0,0,0,0.0,58.28,0,0,0,0,0,2026-06-05
34.5,Put,0,0,0,0,0.0,34.68,0,0,0,0,0,2026-06-05
35.0,Call,2,0,0,0,5.0,5.13,0,0,0,0,0,2026-06-05
35.0,Put,126,0,0,0,0.0,384.0,0,0,0,0,0,2026-06-05
35.5,Put,1,0,0,0,0.0,32.82,0,0,0,0,0,2026-06-05
35.5,Call,0,0,0,0,0.0,53.33,0,0,0,0,0,2026-06-05
36.0,Put,68,351,0,0,0.32,30.209999999999997,0,0,0,0,0,2026-06-05
36.0,Call,0,0,0,0,0.0,39.26,0,0,0,0,0,2026-06-05
36.5,Put,11,0,0,0,0.34,29.509999999999998,0,0,0,0,0,2026-06-05
36.5,Call,0,0,0,0,0.0,38.85,0,0,0,0,0,2026-06-05
37.0,Put,20,2,0,0,0.52,28.43,0,0,0,0,0,2026-06-05
37.0,Call,0,0,0,0,0.0,35.709999999999994,0,0,0,0,0,2026-06-05
37.0,Put,20,2,0,0,0.52,28.43,0,0,0,0,0,2026-06-05
37.5,Call,0,0,0,0,0.0,36.09,0,0,0,0,0,2026-06-05
37.5,Put,51,1,0,0,0.65,27.36,0,0,0,0,0,2026-06-05
38.0,Call,0,0,0,0,0.0,33.93,0,0,0,0,0,2026-06-05
38.0,Put,29,0,0,0,0.57,24.13,0,0,0,0,0,2026-06-05
38.5,Call,353,0,0,0,1.72,32.16,0,0,0,0,0,2026-06-05
38.5,Put,213,4,0,0,0.92,23.16,0,0,0,0,0,2026-06-05
39.0,Call,52,1,0,0,1.08,32.14,0,0,0,0,0,2026-06-05
39.0,Put,11,1,0,0,1.26,248.0,0,0,0,0,0,2026-06-05
