Strike,OptionType,Open Int,Volume,Bid,Ask,Last,IV,Delta,Gamma,Vega,Theta,Moneyness,Expiry
5500.0,Call,5000,5000,0,0,419.0,12.0,0,0,0,0,0,2027-10-01
5600.0,Call,5000,5000,0,0,380.0,12.0,0,0,0,0,0,2027-10-01
5500.0,Put,5000,5000,0,0,277.5,12.0,0,0,0,0,0,2027-10-01
5600.0,Put,5000,5000,0,0,321.75,12.0,0,0,0,0,0,2027-10-01
