Strike,OptionType,Open Int,Volume,Bid,Ask,Last,IV,Delta,Gamma,Vega,Theta,Moneyness,Expiry
4900.0,Put,20,20,0,0,102.0,12.0,0,0,0,0,0,2027-04-01
5300.0,Call,760,200,0,0,265.76,12.0,0,0,0,0,0,2027-04-01
5400.0,Call,65,20,0,0,207.0,12.0,0,0,0,0,0,2027-04-01
5750.0,Call,800,800,0,0,147.625,12.0,0,0,0,0,0,2027-04-01
6000.0,Call,1860,20,0,0,77.11,12.0,0,0,0,0,0,2027-04-01
