Strike,OptionType,Open Int,Volume,Bid,Ask,Last,IV,Delta,Gamma,Vega,Theta,Moneyness,Expiry
5000.0,Call,1150,400,0,0,29.0,12.0,0,0,0,0,0,2026-06-01
5150.0,Call,2480,500,0,0,9.17,12.0,0,0,0,0,0,2026-06-01
5175.0,Call,1000,1000,0,0,7.44,12.0,0,0,0,0,0,2026-06-01
5200.0,Call,3050,2100,0,0,5.0,12.0,0,0,0,0,0,2026-06-01
5225.0,Call,3000,3000,0,0,4.28,12.0,0,0,0,0,0,2026-06-01
5250.0,Call,2100,2500,0,0,4.95,12.0,0,0,0,0,0,2026-06-01
