Strike,CALL_OI,PUT_OI
5250.0,0.0,4110.0
5300.0,0.0,2500.0
5325.0,0.0,210.0
5375.0,0.0,35.0
5400.0,0.0,1765.0
5475.0,250.0,0.0
5500.0,6100.0,300.0
5550.0,290.0,0.0
5600.0,4500.0,0.0
5650.0,350.0,0.0
5700.0,20270.0,0.0
5725.0,500.0,0.0
5800.0,525.0,0.0
5900.0,9000.0,0.0
6000.0,450.0,0.0
