"Nome","Códigos","Bolsa","Último","Compra","Venda","Negociação Estendida","Negociação Estendida (%)","Abertura","Prévio","Máxima","Mínima","Variação","Var%","Vol.","Próximos Balanços","Hora","Valor de Mercado","Receita","Volume Médio (3m)","LPA","Relação P/L","Beta","Dividendo","Rendimento","5 minutos","15 minutos","30 minutos","Hora","5 horas","Diário","Semanal","Mensal","Diário","1 Semana","1 Mês","YTD","1 ano","3 anos"
"SSIF DCE Iron Ore Futures Index ETF","9047.HK","HK","3,16","3,14","3,16","--","--","3,16","3,19","3,16","3,16","-0,03","-0,94%","-","--","04:59:59","11.710.000","","3.000","-","-","-","-","-","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Compra Forte","-0,94%","-0,25%","8,74%","2,20%","13,67%","38,96%"
"SSIF DCE Iron Ore Futures Index ETF","3047.HK","HK","24,74","24,54","26,00","--","--","24,88","25,04","24,88","24,88","-0,30","-1,20%","101","--","04:59:59","91.540.000","","2.366","-","-","-","-","-","Venda","Venda","Neutro","Neutro","Compra Forte","Compra Forte","Compra Forte","Compra Forte","-1,20%","-0,08%","8,99%","2,91%","14,64%","43,01%"
"Madeira Serrada Futuros","LXRc1","CME","592,50","591,50","593,00","--","--","586,50","585,50","593,00","583,50","+7,00","+1,20%","434","--","15:19:25","-","","-","-","-","-","-","-","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Neutro","Compra Forte","Compra Forte","Compra Forte","1,11%","-3,35%","6,28%","9,94%","-12,17%","16,08%"
"Porco Magro Futuros","LHc5","CME","105,88","105,50","106,80","--","--","105,40","105,70","106,65","104,83","+0,18","+0,17%","5.157","--","15:04:55","-","","-","-","-","-","-","-","Compra Forte","Venda","Neutro","Venda Forte","Venda Forte","Venda Forte","Neutro","Compra Forte","0,17%","-2,93%","-4,59%","1,95%","9,64%","13,21%"
"Porco Magro Futuros","LHc6","CME","90,30","89,95","90,75","--","--","90,00","90,33","91,05","89,65","-0,03","-0,03%","3.870","--","15:04:53","-","","-","-","-","-","-","-","Neutro","Venda Forte","Venda","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Venda","-0,03%","-2,56%","-2,82%","-12,27%","9,65%","8,76%"
"Porco Magro Futuros","LHc7","CME","82,60","82,40","83,50","--","--","82,45","82,78","83,30","82,13","-0,18","-0,21%","2.156","--","15:04:12","-","","-","-","-","-","-","-","Neutro","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Venda Forte","-0,21%","-2,34%","-1,20%","-4,76%","8,40%","6,62%"
"Porco Magro Futuros","LHc4","CME","106,23","105,00","106,85","--","--","105,58","106,00","107,03","105,00","+0,23","+0,21%","5.649","--","15:04:55","-","","-","-","-","-","-","-","Compra Forte","Venda","Neutro","Venda","Venda Forte","Venda Forte","Compra Forte","Compra Forte","0,21%","-3,14%","-5,19%","3,26%","9,15%","13,52%"
"Porco Magro Futuros","LHc3","CME","104,15","103,50","104,50","--","--","103,50","104,05","105,00","102,95","+0,10","+0,10%","17.033","--","15:04:55","-","","-","-","-","-","-","-","Compra Forte","Venda","Neutro","Venda Forte","Venda Forte","Venda","Compra Forte","Compra Forte","0,10%","-3,14%","-5,25%","10,80%","7,87%","13,92%"
"Porco Magro Futuros","LHc2","CME","95,55","95,00","97,00","--","--","95,15","95,48","96,20","94,65","+0,08","+0,08%","169","--","15:00:18","-","","-","-","-","-","-","-","Venda Forte","Venda Forte","Venda","Venda","Venda Forte","Venda Forte","Compra","Compra Forte","0,08%","-3,19%","-4,78%","6,28%","6,73%","11,53%"
"Porco Magro Futuros","LHc1","CME","90,85","90,50","91,25","--","--","90,75","91,05","91,50","90,53","-0,20","-0,22%","7.409","--","15:04:56","-","","-","-","-","-","-","-","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Venda Forte","Compra","Neutro","-0,22%","-3,09%","-5,09%","6,76%","3,77%","17,72%"
"abrdn Bloomberg All Commodity Strategy K-1 Free ETF","BCI","NYSE","23,40","-","-","--","--","23,13","23,41","23,42","23,12","-0,02","-0,06%","739.566","--","15:30:57","2.460.000.000","","1.859.574","-","-","-","3,2198","13,75%","Compra Forte","Compra Forte","Compra Forte","Compra Forte","Neutro","Neutro","Compra Forte","Compra Forte","-0,06%","-3,43%","8,53%","19,82%","10,48%","15,67%"
"Tesouro Prefixado com Juros Semestrais Vencimento em 01/01/2025","NTF010125=STNC","BVMF","1.047,84","-","-","--","--","1.047,84","1.030,24","1.047,84","1.047,84","+0,49","+0,05%","-","--","30/12","-","","-","-","-","-","-","-","","","","","","Compra Forte","Compra Forte","Compra Forte","0,05%","0,00%","0,00%","0,00%","3,93%","6,69%"
"Tesouro Prefixado com Juros Semestrais Vencimento em 01/01/2027","NTF010127=STNC","BVMF","946,27","-","-","--","--","946,27","981,89","946,27","946,27","+4,24","+0,45%","-","--","06/03","-","","-","-","-","-","-","-","","","","","","Compra Forte","Venda","Venda Forte","0,45%","0,00%","0,00%","-1,27%","-3,30%","-2,70%"
"Tesouro Prefixado com Juros Semestrais Vencimento em 01/01/2029","NTF010129=STNC","BVMF","885,310","-","-","--","--","885,310","953,850","885,310","885,310","+7,980","+0,91%","-","--","06/03","-","","-","-","-","-","-","-","","","","","","Neutro","Venda","Venda Forte","0,91%","0,00%","0,00%","-1,03%","-5,98%","-6,52%"
"Tesouro Prefixado com Juros Semestrais Vencimento em 01/01/2033","NTF010133=","BVMF","807,648","-","-","--","--","807,648","807,741","807,648","807,648","-0,093","-0,01%","-","--","31/03","-","","-","-","-","-","-","-","","","","","","Compra","Venda Forte","Venda","-0,01%","0,00%","0,00%","-1,05%","-15,13%","-11,35%"
"Tesouro Prefixado com Juros Semestrais Vencimento em 01/01/2031","NTF010131=STNC","BVMF","834,410","-","-","--","--","834,410","0,000","834,410","834,410","+10,070","+1,22%","-","--","06/03","-","","-","-","-","-","-","-","","","","","","Venda","Venda Forte","Venda Forte","1,22%","0,00%","0,00%","-1,93%","-8,48%","-10,10%"
"Tesouro IPCA+ com Juros Semestrais Vencimento em 15/08/2060","NTB081560=","BVMF","3.697,666","-","-","--","--","3.697,666","3.710,366","3.697,666","3.697,666","-7,046","-0,19%","-","--","31/03","-","","-","-","-","-","-","-","","","","","","Compra Forte","Venda Forte","Venda Forte","-0,19%","0,00%","0,00%","1,42%","-12,85%","-10,27%"
