"Nome","Códigos","Bolsa","Último","Compra","Venda","Negociação Estendida","Negociação Estendida (%)","Abertura","Prévio","Máxima","Mínima","Variação","Var%","Vol.","Próximos Balanços","Hora","Valor de Mercado","Receita","Volume Médio (3m)","LPA","Relação P/L","Beta","Dividendo","Rendimento","5 minutos","15 minutos","30 minutos","Hora","5 horas","Diário","Semanal","Mensal","Diário","1 Semana","1 Mês","YTD","1 ano","3 anos"
"Tesouro IPCA+ com Juros Semestrais Vencimento em 15/05/2027","NTB051527=","BVMF","4.369,409","-","-","--","--","4.369,409","4.366,423","4.369,409","4.369,409","+2,986","+0,07%","-","--","31/03","-","","-","-","-","-","-","-","","","","","","Compra Forte","Compra Forte","Compra Forte","0,07%","0,00%","0,00%","4,50%","2,42%","8,06%"
"Tesouro IPCA+ com Juros Semestrais Vencimento em 15/08/2026","NTB081526=STNC","BVMF","4.332,090","-","-","--","--","4.332,090","4.239,866","4.332,090","4.332,090","+4,460","+0,10%","-","--","06/03","-","","-","-","-","-","-","-","","","","","","Venda Forte","Venda","Compra","0,10%","0,00%","0,00%","-0,56%","0,08%","7,38%"
"Tesouro IPCA+ com Juros Semestrais Vencimento em 15/05/2025","NTB051525=","BVMF","4.554,396","-","-","--","--","4.554,396","4.553,075","4.554,396","4.554,396","+1,321","+0,03%","-","--","31/03","-","","-","-","-","-","-","-","","","","","","Compra Forte","Compra Forte","Compra Forte","0,03%","0,00%","0,00%","3,95%","4,16%","14,87%"
"Tesouro Prefixado Vencimento em 01/01/2029","LTN010129=","BVMF","582,336","-","-","--","--","582,336","645,310","582,336","582,336","-62,974","-9,76%","-","--","13/02","-","","-","-","-","-","-","-","","","","","","Venda Forte","Venda","Compra","-9,76%","0,16%","-3,18%","-3,18%","-4,91%","-"
"Tesouro Prefixado Vencimento em 01/07/2026","LTN070126=","BVMF","838,863","-","-","--","--","838,863","837,893","838,863","838,863","+0,970","+0,12%","-","--","31/03","-","","-","-","-","-","-","-","","","","","","Compra Forte","Compra Forte","Compra Forte","0,12%","0,00%","0,00%","4,65%","3,37%","-"
"Tesouro Prefixado Vencimento em 01/01/2026","LTN010126=STNC","BVMF","891,640","-","-","--","--","891,640","703,946","891,640","891,640","+1,590","+0,18%","-","--","06/03","-","","-","-","-","-","-","-","","","","","","Compra Forte","Compra Forte","Compra Forte","0,18%","0,00%","0,00%","3,05%","2,88%","27,38%"
"Tesouro Prefixado Vencimento em 01/07/2025","LTN070125=","BVMF","967,568","-","-","--","--","967,568","966,948","967,568","967,568","+0,620","+0,06%","-","--","31/03","-","","-","-","-","-","-","-","","","","","","Compra Forte","Compra Forte","Compra Forte","0,06%","0,00%","0,00%","3,29%","8,11%","33,25%"
"Tesouro Prefixado Vencimento em 01/04/2025","LTN040125=","BVMF","994,798","-","-","--","--","994,798","990,918","994,798","994,798","+0,469","+0,05%","-","--","02:00:00","-","","-","-","-","-","-","-","","","","","","Compra Forte","Compra Forte","Compra Forte","0,05%","0,00%","0,00%","2,59%","4,40%","-"
"Tesouro Prefixado Vencimento em 01/01/2025","LTN010125=STNC","BVMF","999,070","-","-","--","--","999,070","0,000","999,070","999,070","+0,460","+0,05%","-","--","30/12","-","","-","-","-","-","-","-","","","","","","Compra Forte","Compra Forte","Compra Forte","0,05%","0,00%","0,00%","0,00%","8,99%","36,10%"
"Tesouro Prefixado Vencimento em 01/10/2024","LTN100124=","BVMF","999,597","-","-","--","--","999,597","999,194","999,597","999,597","+0,000","+0,00%","-","--","30/09","-","","-","-","-","-","-","-","","","","","","Compra Forte","Compra Forte","Compra Forte","0,00%","0,00%","0,60%","7,71%","10,68%","-"
